Regulator	Target	MoA	likelihood
100125288	950	-0.999999993942135	0.992023180606792
100125288	26151	0.999999999999665	0.997046668930553
100125288	4878	0.999999999952362	0.980694228252244
100125288	84895	0.999999999999372	0.996829099300436
100125288	351	-0.999999992350089	0.973224617155469
100125288	5261	0.999999999998908	0.996084665636909
100125288	339942	0.99999999999999	0.998339546101448
100125288	6553	0.999999999999986	0.998608837021151
100125288	90639	0.999999999997811	0.993855142278886
100125288	346653	0.999999999999897	0.994496543576934
100125288	127579	0.9999999999998	0.994624084623301
100125288	2785	0.999999919840773	0.862302466559637
100125288	23191	-0.999999983189037	0.984011236415647
100125288	84236	-0.999999997307803	0.994747604137278
100125288	81025	0.999999999667686	0.937283181909352
100125288	7094	-0.999982661839749	0.856239033815159
100125288	219771	-0.99999962665447	0.938438697985042
100125288	199699	0.999999945821388	0.90749108931941
100125288	131965	0.999968127370974	0.668688781485385
100125288	1781	-0.999999998726908	0.997684333499756
100125288	9804	-0.9999999357346	0.945949595353302
100125288	5555	0.999999999998035	0.994300701201739
100125288	728743	0.999999993469292	0.936542010406083
100125288	5554	0.999999993589411	0.927077186163309
100125288	26123	-0.999999578350129	0.942815984728017
100125288	9213	-0.99999998940916	0.985162019509553
100125288	201780	0.98777929146773	0.566984156130715
100125288	2957	-0.999999997360461	0.99688834153059
100125288	55737	-0.999999999589454	0.99638658937785
100125288	56158	0.999932456667508	0.631375224279312
100125288	100129405	0.999999999999843	0.997306287024585
100125288	9276	-0.999999967338207	0.981147987998376
100125288	3938	0.983655792869071	0.293611320981259
100125288	55709	-0.999999993126147	0.985219125583292
100125288	360200	0.999999999907994	0.969845103178567
100125288	677846	0.0749742700818575	0.199881949163777
100125288	79868	0.999999999986481	0.990196664736938
100125288	3312	-0.999999924116655	0.986307826920096
100125288	8087	-0.999983272081881	0.766255253422584
100125288	9997	0.999999999997668	0.99463838881074
100125288	84667	0.999999917228875	0.937411402086308
100129842	7644	0.99999999999985	0.999401339538976
100129842	57677	0.999999999999822	0.994496483265877
100129842	353088	0.99999999998871	0.990951570383189
100129842	10189	-0.999999990850913	0.985690884420699
100129842	256643	0.999999996864522	0.968439779146443
100129842	50804	0.999999945772537	0.938553700635909
100129842	8877	-0.999999933867296	0.976244876049997
100129842	64800	0.999999640602165	0.930064781240875
100129842	26099	-0.999999404614737	0.944655087270222
100129842	125893	0.999999999704886	0.947587375057367
100129842	9718	-0.999999960601027	0.948407479206143
100129842	196383	-0.991053739064937	0.67213963840752
100129842	54993	0.999489450947954	0.571096075934091
100129842	56605	0.99996748390232	0.538898037507799
100129842	284013	-0.99999918369613	0.925287811080865
100129842	23474	-0.999997912919648	0.794746946322023
100129842	3447	-0.00564804189097313	0.418139499536096
100129842	2318	-0.998832431473829	0.506149237593486
100129842	4352	0.999779310246429	0.750102958642158
100129842	100033430	0.0109028129381574	0.0119675433228615
100129842	729609	0.0667362599740916	0.206421071705813
100129842	10056	-0.951102540441538	0.660515618148154
100130086	84548	0.99999999999772	0.996219234258557
100130086	3185	-0.999999994266403	0.978372005532167
100130086	5717	-0.99999993320671	0.97371985629861
100130086	55759	-0.999999965738174	0.954152255234532
100130086	3074	-0.999999710220137	0.92769962657058
100130086	9993	0.999686445138444	0.790583564977438
100130086	28977	-0.999999962619136	0.957387498342085
100130086	56902	-0.99999990538271	0.93382058964135
100130086	20	0.99986208364283	0.805223710497711
100130086	2664	0.99999999953336	0.942539243663362
100130086	908	-0.999999950317468	0.921670379324225
100130086	9692	-0.999999850793659	0.938317259861195
100130086	7692	0.999999999891931	0.959285096488091
100130086	54469	-0.999999866515015	0.945079124173115
100130086	286128	0.996010468179695	0.499065105399553
100130086	115353	-0.999999491926529	0.863683507605116
100130086	51099	-0.999994124460812	0.914831046439648
100130086	22800	-0.999986381904192	0.755391394175977
100130086	23125	0.999999385396788	0.901056150560403
100130086	23334	0.999999998209194	0.953451659030948
